epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,9240.38,1.06733,1.12492,0.58619,0.00172,0.36611,0.92302,0.92369,0.95596,0.77729,0.9147,0.91505,0.94345,0.60634,0.82366,0.95872,0.38709,0.00153,0,0.0005545,0.0005545,0.0005545
47,9439.26,1.06922,1.11948,0.57817,0.00173,0.35422,0.91428,0.92447,0.95568,0.77397,0.90601,0.91106,0.94165,0.60472,0.82284,0.95092,0.39417,0.00153,0,0.0005446,0.0005446,0.0005446
48,9638.27,1.05177,1.11129,0.56227,0.0017,0.34554,0.92244,0.93079,0.95701,0.78134,0.91219,0.91938,0.94256,0.60564,0.813,0.9482,0.38328,0.00152,0,0.0005347,0.0005347,0.0005347
49,9837.31,1.05315,1.11637,0.57029,0.00171,0.35001,0.91839,0.92642,0.95616,0.77674,0.90768,0.91406,0.94098,0.60094,0.81979,0.9559,0.39069,0.00153,0,0.0005248,0.0005248,0.0005248
50,10036.9,1.0597,1.11532,0.56037,0.0017,0.34104,0.93332,0.9241,0.95943,0.78586,0.9246,0.91391,0.94674,0.61699,0.80505,0.94992,0.37701,0.0015,0,0.0005149,0.0005149,0.0005149
51,10236.7,1.06318,1.11638,0.56164,0.0017,0.34424,0.91933,0.93051,0.95996,0.78278,0.9195,0.90873,0.94673,0.60861,0.8039,0.94068,0.37461,0.00149,0,0.000505,0.000505,0.000505
52,10435.9,1.03915,1.09604,0.54194,0.00166,0.33276,0.91404,0.93763,0.96106,0.78512,0.91141,0.92098,0.95049,0.61187,0.79699,0.94793,0.37914,0.00148,0,0.0004951,0.0004951,0.0004951
53,10635.4,1.03719,1.08861,0.5335,0.00167,0.32634,0.92489,0.93038,0.96052,0.78566,0.9138,0.91941,0.94755,0.60943,0.80577,0.94098,0.37305,0.0015,0,0.0004852,0.0004852,0.0004852
54,10834.9,1.03641,1.08434,0.52552,0.00167,0.32134,0.92584,0.93277,0.96074,0.78874,0.91655,0.9185,0.94654,0.61309,0.79837,0.93177,0.37772,0.00149,0,0.0004753,0.0004753,0.0004753
55,11034.4,1.03374,1.09074,0.53335,0.00167,0.32621,0.92455,0.93712,0.96318,0.78869,0.92374,0.91906,0.95157,0.61444,0.79726,0.94278,0.37131,0.00148,0,0.0004654,0.0004654,0.0004654
56,11233.7,1.03398,1.07908,0.52163,0.00164,0.31586,0.92667,0.93612,0.96302,0.79151,0.91836,0.92755,0.95286,0.61768,0.79016,0.93547,0.36241,0.00147,0,0.0004555,0.0004555,0.0004555
57,11433.3,1.02729,1.07199,0.51088,0.00164,0.3131,0.92561,0.93532,0.96053,0.79099,0.91633,0.92636,0.95094,0.61925,0.79207,0.93901,0.36789,0.00147,0,0.0004456,0.0004456,0.0004456
58,11632.8,1.02068,1.07616,0.51215,0.00163,0.29763,0.92592,0.94005,0.96143,0.78981,0.91639,0.92888,0.9483,0.61106,0.79187,0.92521,0.36653,0.00147,0,0.0004357,0.0004357,0.0004357
59,11831.9,1.01439,1.06559,0.50409,0.00162,0.29821,0.92824,0.93527,0.9602,0.7935,0.91792,0.92229,0.94596,0.61563,0.78224,0.9228,0.36847,0.00145,0,0.0004258,0.0004258,0.0004258
60,12031,1.01615,1.06255,0.50998,0.00162,0.30906,0.91958,0.94047,0.9605,0.79182,0.90919,0.92694,0.9461,0.61947,0.78441,0.92986,0.36769,0.00145,0,0.0004159,0.0004159,0.0004159
61,12230.2,1.00283,1.05066,0.50332,0.00161,0.3059,0.92207,0.92896,0.95989,0.79135,0.91118,0.91859,0.94649,0.61254,0.78591,0.9343,0.37201,0.00145,0,0.000406,0.000406,0.000406
62,12429.3,1.00793,1.05571,0.50546,0.00161,0.30665,0.92181,0.93942,0.96089,0.79244,0.91877,0.92216,0.94632,0.61286,0.78412,0.93268,0.36108,0.00145,0,0.0003961,0.0003961,0.0003961
63,12628.3,1.00077,1.06067,0.4964,0.00161,0.28857,0.92649,0.93221,0.96094,0.79316,0.91311,0.92051,0.94534,0.60983,0.77964,0.92583,0.36849,0.00144,0,0.0003862,0.0003862,0.0003862
64,12826.9,1.00625,1.04674,0.49679,0.00161,0.29663,0.92862,0.9329,0.96285,0.79811,0.91575,0.91998,0.94794,0.61459,0.77723,0.9186,0.35978,0.00143,0,0.0003763,0.0003763,0.0003763
65,13025.9,1.00472,1.04705,0.49173,0.00159,0.29182,0.92919,0.93585,0.9633,0.79798,0.91839,0.92462,0.94953,0.61932,0.78154,0.91944,0.35935,0.00144,0,0.0003664,0.0003664,0.0003664
66,13225.2,0.99532,1.02972,0.48883,0.00158,0.29233,0.93566,0.92922,0.96363,0.79762,0.92787,0.91881,0.95254,0.61319,0.77691,0.91494,0.35881,0.00144,0,0.0003565,0.0003565,0.0003565
