epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,12073.6,1.00388,1.06745,0.54247,0.00223,0.34341,0.92207,0.92586,0.95955,0.78854,0.91145,0.91634,0.94645,0.6221,0.78457,0.92894,0.36968,0.00146,0,0.0004951,0.0004951,0.0004951
53,12305.1,1.00403,1.07672,0.53829,0.0022,0.34796,0.92788,0.9126,0.95678,0.78478,0.91772,0.9011,0.94367,0.60456,0.795,0.93247,0.38116,0.00148,0,0.0004852,0.0004852,0.0004852
54,12536.2,1.01755,1.08242,0.54749,0.00222,0.34814,0.91814,0.92632,0.9588,0.79057,0.91167,0.91316,0.94799,0.61642,0.77366,0.91183,0.37004,0.00143,0,0.0004753,0.0004753,0.0004753
55,12767.2,1.00537,1.075,0.53588,0.00216,0.34059,0.92619,0.91831,0.95807,0.78605,0.91613,0.90877,0.94409,0.60379,0.7888,0.93012,0.3719,0.00146,0,0.0004654,0.0004654,0.0004654
56,12998.2,0.99783,1.07079,0.53942,0.00218,0.34614,0.91312,0.93176,0.95888,0.78922,0.90248,0.91874,0.94392,0.61493,0.78729,0.92632,0.36946,0.00146,0,0.0004555,0.0004555,0.0004555
57,13229.1,0.99558,1.0648,0.5277,0.00215,0.33542,0.9123,0.9383,0.95934,0.79148,0.90492,0.92641,0.94694,0.61339,0.78202,0.92626,0.3637,0.00144,0,0.0004456,0.0004456,0.0004456
58,13460.4,0.99741,1.0584,0.52586,0.00217,0.32369,0.92134,0.9376,0.9614,0.79254,0.91034,0.92666,0.949,0.61573,0.77931,0.93,0.36446,0.00144,0,0.0004357,0.0004357,0.0004357
59,13691.6,0.99244,1.05506,0.5115,0.00211,0.32053,0.91961,0.93549,0.96051,0.795,0.91092,0.92656,0.94953,0.6205,0.78191,0.92157,0.3587,0.00145,0,0.0004258,0.0004258,0.0004258
60,13922.3,0.98413,1.0494,0.50856,0.00213,0.31996,0.91976,0.93031,0.95987,0.79254,0.91014,0.92069,0.94834,0.61888,0.77601,0.92133,0.36328,0.00144,0,0.0004159,0.0004159,0.0004159
61,14153.2,0.98675,1.04626,0.51151,0.00211,0.32206,0.92357,0.93407,0.96093,0.79423,0.9115,0.92191,0.94628,0.61654,0.76696,0.9141,0.35766,0.00141,0,0.000406,0.000406,0.000406
62,14384.7,0.98323,1.04015,0.5008,0.00211,0.30937,0.9266,0.93391,0.95986,0.79565,0.91559,0.92332,0.94751,0.62065,0.76784,0.90475,0.35944,0.00143,0,0.0003961,0.0003961,0.0003961
63,14615.7,0.98124,1.05197,0.50848,0.00212,0.30798,0.92376,0.93262,0.961,0.7957,0.91231,0.92059,0.94655,0.61327,0.77329,0.91486,0.35443,0.00143,0,0.0003862,0.0003862,0.0003862
64,14846.4,0.97944,1.03889,0.50036,0.00211,0.30262,0.92986,0.92735,0.95937,0.79594,0.92149,0.91795,0.94862,0.62227,0.76647,0.90698,0.35483,0.00142,0,0.0003763,0.0003763,0.0003763
65,15077,0.96967,1.0312,0.49081,0.0021,0.3084,0.92653,0.93542,0.96179,0.79633,0.91933,0.92242,0.94787,0.61784,0.77139,0.91225,0.35415,0.00143,0,0.0003664,0.0003664,0.0003664
66,15307.8,0.97601,1.0324,0.49451,0.00211,0.2952,0.92672,0.93434,0.96214,0.79934,0.91546,0.9272,0.95027,0.61721,0.76435,0.91905,0.35067,0.00141,0,0.0003565,0.0003565,0.0003565
67,15538.4,0.96534,1.03178,0.49263,0.00208,0.2994,0.9255,0.93965,0.96355,0.80049,0.91707,0.93156,0.95212,0.61934,0.76395,0.91823,0.35067,0.00142,0,0.0003466,0.0003466,0.0003466
68,15769.5,0.95933,1.01859,0.47953,0.00206,0.29208,0.93388,0.93085,0.96359,0.8013,0.9236,0.91981,0.95174,0.62404,0.76117,0.90435,0.35029,0.00141,0,0.0003367,0.0003367,0.0003367
69,16000.4,0.96736,1.02487,0.48786,0.00206,0.29643,0.92388,0.936,0.96106,0.79847,0.9144,0.92965,0.95102,0.61999,0.76192,0.90162,0.35097,0.00141,0,0.0003268,0.0003268,0.0003268
70,16230.9,0.95443,1.01337,0.47582,0.0021,0.28267,0.92772,0.93689,0.96272,0.80023,0.91697,0.92626,0.95013,0.62015,0.76819,0.91004,0.35084,0.00142,0,0.0003169,0.0003169,0.0003169
71,16461.5,0.95721,1.01546,0.47728,0.00203,0.29041,0.92147,0.94056,0.96427,0.80256,0.90912,0.92858,0.9488,0.62107,0.76362,0.90821,0.34573,0.00141,0,0.000307,0.000307,0.000307
72,16693.1,0.94944,1.00135,0.47475,0.00202,0.29358,0.92185,0.93661,0.96266,0.80023,0.91237,0.92743,0.95102,0.61534,0.76588,0.90501,0.3475,0.00141,0,0.0002971,0.0002971,0.0002971
73,16924.1,0.94412,1.00183,0.46618,0.00202,0.28249,0.93273,0.92557,0.96388,0.8046,0.92376,0.91646,0.95175,0.62634,0.75957,0.90892,0.34695,0.00141,0,0.0002872,0.0002872,0.0002872
74,17155.2,0.94761,0.99944,0.46407,0.002,0.27453,0.9294,0.93337,0.96401,0.80365,0.92128,0.92266,0.95205,0.62189,0.76,0.9048,0.34489,0.0014,0,0.0002773,0.0002773,0.0002773
75,17385.1,0.9417,0.9988,0.46001,0.00199,0.2766,0.92602,0.93421,0.96348,0.80484,0.91782,0.92659,0.95313,0.62263,0.75342,0.90058,0.343,0.00139,0,0.0002674,0.0002674,0.0002674
76,17615.5,0.94095,0.99947,0.45283,0.00201,0.26634,0.92857,0.93068,0.96274,0.80267,0.92101,0.92278,0.95368,0.62165,0.75667,0.90179,0.3457,0.0014,0,0.0002575,0.0002575,0.0002575
77,17845.9,0.94084,0.98732,0.45714,0.00196,0.27104,0.93261,0.93063,0.96466,0.80669,0.92324,0.9216,0.95343,0.62259,0.74816,0.89497,0.33619,0.00138,0,0.0002476,0.0002476,0.0002476
78,18076.7,0.93476,0.98401,0.45206,0.00197,0.26307,0.93027,0.93117,0.96328,0.80684,0.92213,0.92345,0.95228,0.62445,0.74891,0.89778,0.33818,0.00138,0,0.0002377,0.0002377,0.0002377
79,18307.2,0.93698,1.00008,0.44971,0.00196,0.26299,0.9288,0.93514,0.96451,0.80736,0.92311,0.92338,0.95419,0.62457,0.75184,0.89402,0.34011,0.00139,0,0.0002278,0.0002278,0.0002278
80,18538.2,0.93206,0.98772,0.44498,0.00198,0.26543,0.9383,0.93543,0.96578,0.80846,0.92967,0.92726,0.95534,0.62815,0.74989,0.89337,0.33411,0.00138,0,0.0002179,0.0002179,0.0002179
81,18769.2,0.92622,0.98371,0.44492,0.00194,0.26256,0.9279,0.94033,0.96591,0.81007,0.91887,0.93312,0.95639,0.62932,0.74728,0.89354,0.33501,0.00138,0,0.000208,0.000208,0.000208
82,18999.5,0.93072,0.98114,0.44133,0.00192,0.26215,0.92844,0.93666,0.96569,0.80983,0.92069,0.92644,0.95615,0.62836,0.75018,0.901,0.33682,0.00138,0,0.0001981,0.0001981,0.0001981
83,19230.2,0.92833,0.98214,0.43934,0.00193,0.25575,0.93279,0.93476,0.96482,0.81041,0.92344,0.92594,0.95484,0.62845,0.74754,0.89894,0.33478,0.00138,0,0.0001882,0.0001882,0.0001882
84,19460.4,0.92073,0.9709,0.43561,0.00193,0.25586,0.93611,0.93114,0.96407,0.80825,0.91998,0.9274,0.95404,0.62458,0.74716,0.89487,0.33853,0.00138,0,0.0001783,0.0001783,0.0001783
85,19691,0.92467,0.97373,0.44038,0.00192,0.25962,0.92616,0.94186,0.96543,0.80981,0.91656,0.93266,0.95407,0.62714,0.74677,0.89499,0.33394,0.00138,0,0.0001684,0.0001684,0.0001684
86,19921.9,0.91536,0.96746,0.43348,0.00192,0.25532,0.94227,0.92799,0.9663,0.81157,0.93249,0.91988,0.95418,0.62726,0.74465,0.89005,0.33362,0.00137,0,0.0001585,0.0001585,0.0001585
87,20153,0.90976,0.95979,0.43583,0.00193,0.24787,0.92693,0.94206,0.96642,0.81185,0.91743,0.93061,0.95399,0.62737,0.74643,0.89338,0.33476,0.00138,0,0.0001486,0.0001486,0.0001486
88,20384.3,0.90953,0.95755,0.42895,0.00192,0.24622,0.93424,0.93436,0.96661,0.81089,0.92763,0.92197,0.95458,0.62672,0.7468,0.89659,0.33513,0.00138,0,0.0001387,0.0001387,0.0001387
89,20614.5,0.91834,0.9725,0.42637,0.00192,0.24019,0.9312,0.9383,0.96646,0.81173,0.92225,0.92899,0.95502,0.62746,0.74498,0.89176,0.33204,0.00137,0,0.0001288,0.0001288,0.0001288
90,20845.3,0.91309,0.96171,0.42518,0.00189,0.24493,0.93496,0.93639,0.96627,0.81128,0.92523,0.92692,0.95444,0.62727,0.74611,0.89357,0.33494,0.00138,0,0.0001189,0.0001189,0.0001189
91,21094.9,0.82546,0.91088,0.3589,0.00209,0.15174,0.93907,0.93119,0.96599,0.81025,0.92963,0.92163,0.95394,0.62607,0.75044,0.89765,0.33626,0.00138,0,0.000109,0.000109,0.000109
92,21322.2,0.82804,0.91409,0.35766,0.00205,0.14529,0.93426,0.93374,0.96512,0.80895,0.92551,0.92516,0.954,0.62525,0.74994,0.90097,0.33678,0.00138,0,9.91e-05,9.91e-05,9.91e-05
93,21549.8,0.82395,0.9206,0.3512,0.00204,0.14228,0.93325,0.93687,0.96632,0.81118,0.92555,0.9271,0.95436,0.62488,0.74987,0.89908,0.33625,0.00138,0,8.92e-05,8.92e-05,8.92e-05
94,21778.1,0.81416,0.89967,0.34441,0.00202,0.13998,0.93122,0.93738,0.96624,0.81097,0.92627,0.9242,0.95416,0.6249,0.74883,0.89786,0.33801,0.00138,0,7.93e-05,7.93e-05,7.93e-05
95,22005.3,0.81314,0.90629,0.34522,0.00201,0.13731,0.92636,0.93942,0.96609,0.8105,0.92467,0.92526,0.95417,0.6246,0.75008,0.89635,0.33631,0.00138,0,6.94e-05,6.94e-05,6.94e-05
96,22232.7,0.81123,0.90713,0.3437,0.00202,0.13858,0.93558,0.93338,0.96625,0.81172,0.92757,0.92522,0.95483,0.62484,0.74942,0.89394,0.33659,0.00138,0,5.95e-05,5.95e-05,5.95e-05
97,22459.3,0.8118,0.90685,0.34368,0.00201,0.13778,0.92723,0.93936,0.96637,0.81166,0.91832,0.92951,0.95442,0.6251,0.74664,0.89244,0.3352,0.00137,0,4.96e-05,4.96e-05,4.96e-05
98,22686.7,0.80655,0.9042,0.34076,0.00198,0.13616,0.93314,0.93495,0.96633,0.81191,0.927,0.92348,0.95487,0.62489,0.7452,0.89159,0.33523,0.00137,0,3.97e-05,3.97e-05,3.97e-05
99,22914.2,0.80594,0.88735,0.33917,0.00201,0.13884,0.92799,0.94069,0.96615,0.8114,0.91856,0.93091,0.95445,0.62566,0.74639,0.89159,0.33838,0.00137,0,2.98e-05,2.98e-05,2.98e-05
100,23141.9,0.80621,0.9015,0.33883,0.00199,0.13679,0.92953,0.94006,0.96638,0.81236,0.91999,0.93074,0.95488,0.62679,0.74383,0.89159,0.33646,0.00137,0,1.99e-05,1.99e-05,1.99e-05
