epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,10769,1.05144,1.13826,0.64313,0.00248,0.41289,0.88213,0.84719,0.91251,0.7127,0.86743,0.82554,0.88586,0.53619,0.82766,0.94307,0.47141,0.00336,0,0.0006436,0.0006436,0.0006436
38,11056.6,1.05021,1.13554,0.63353,0.00248,0.40616,0.85715,0.85397,0.9056,0.71136,0.84179,0.82755,0.87664,0.54433,0.82013,0.97222,0.48384,0.0032,0,0.0006337,0.0006337,0.0006337
39,11344.3,1.04877,1.13731,0.62804,0.00244,0.41524,0.87832,0.84166,0.90681,0.71271,0.86777,0.82741,0.88608,0.55432,0.81541,0.95212,0.47827,0.00331,0,0.0006238,0.0006238,0.0006238
40,11631.5,1.05052,1.13442,0.61751,0.00245,0.40032,0.88069,0.85562,0.91563,0.7252,0.86809,0.83961,0.89464,0.55823,0.80353,0.94684,0.46104,0.00315,0,0.0006139,0.0006139,0.0006139
41,11919.4,1.0421,1.131,0.61588,0.00243,0.3809,0.88125,0.8558,0.91249,0.72076,0.86807,0.84057,0.88925,0.55181,0.79721,0.94225,0.46882,0.00316,0,0.000604,0.000604,0.000604
42,12206.7,1.03081,1.11547,0.59741,0.00246,0.37327,0.88726,0.85572,0.91599,0.72173,0.87193,0.83549,0.88949,0.54487,0.80594,0.93741,0.4423,0.00317,0,0.0005941,0.0005941,0.0005941
43,12495.6,1.03421,1.11756,0.60963,0.0024,0.38447,0.88452,0.85928,0.91424,0.72584,0.87048,0.83955,0.88864,0.55203,0.79061,0.93571,0.45215,0.00309,0,0.0005842,0.0005842,0.0005842
44,12783.2,1.02768,1.10457,0.58723,0.00239,0.36527,0.88759,0.85328,0.91482,0.7257,0.87895,0.82525,0.88767,0.55035,0.80125,0.9314,0.45357,0.00323,0,0.0005743,0.0005743,0.0005743
45,13071.4,1.02375,1.10815,0.57689,0.00238,0.3718,0.88424,0.86263,0.9175,0.72849,0.87233,0.84586,0.89604,0.55601,0.7949,0.93125,0.45084,0.00323,0,0.0005644,0.0005644,0.0005644
46,13359.7,1.03256,1.1188,0.5788,0.00236,0.36797,0.88634,0.86579,0.91688,0.72882,0.87146,0.84544,0.89259,0.55367,0.78969,0.92427,0.4349,0.00315,0,0.0005545,0.0005545,0.0005545
47,13647.1,1.01537,1.09661,0.57345,0.00235,0.36858,0.88386,0.86272,0.91726,0.73235,0.87462,0.83953,0.89628,0.5673,0.78966,0.92858,0.4427,0.00313,0,0.0005446,0.0005446,0.0005446
48,13934.2,1.00592,1.0804,0.55925,0.00238,0.35052,0.89075,0.86646,0.92145,0.72765,0.87471,0.84319,0.89291,0.54984,0.80805,0.94101,0.44276,0.0033,0,0.0005347,0.0005347,0.0005347
49,14222.8,1.01674,1.09773,0.56856,0.00235,0.35875,0.89486,0.86352,0.92198,0.73505,0.88337,0.84004,0.89525,0.5558,0.79004,0.93023,0.43023,0.00316,0,0.0005248,0.0005248,0.0005248
50,14510.2,0.9977,1.0752,0.55636,0.00234,0.35069,0.90353,0.86184,0.92405,0.73748,0.89016,0.84551,0.90114,0.56353,0.78296,0.92275,0.4306,0.00317,0,0.0005149,0.0005149,0.0005149
51,14798.4,1.00562,1.08379,0.55658,0.00233,0.34975,0.89893,0.86625,0.92264,0.73918,0.88046,0.84576,0.89707,0.5662,0.78466,0.91524,0.41831,0.00328,0,0.000505,0.000505,0.000505
52,15087.2,1.00932,1.08729,0.54926,0.00231,0.34191,0.8971,0.86773,0.92318,0.73455,0.87815,0.84416,0.89299,0.55513,0.78628,0.91802,0.41997,0.00315,0,0.0004951,0.0004951,0.0004951
53,15374.8,1.00883,1.09398,0.54213,0.00229,0.33714,0.89567,0.87166,0.92358,0.74111,0.88594,0.84722,0.90024,0.56423,0.76943,0.91573,0.41425,0.00307,0,0.0004852,0.0004852,0.0004852
54,15661.8,0.99556,1.07399,0.54052,0.00229,0.33526,0.89902,0.87124,0.92519,0.73555,0.88483,0.84795,0.89903,0.5501,0.78828,0.91037,0.43973,0.00315,0,0.0004753,0.0004753,0.0004753
55,15949.5,0.99749,1.06482,0.54771,0.00228,0.34879,0.89345,0.87035,0.92362,0.74012,0.87829,0.8479,0.89684,0.5614,0.76851,0.89931,0.4218,0.00304,0,0.0004654,0.0004654,0.0004654
56,16236.9,0.99587,1.07844,0.54012,0.00223,0.3288,0.87951,0.87998,0.92485,0.73991,0.87302,0.84684,0.89786,0.56258,0.76882,0.9071,0.42051,0.00311,0,0.0004555,0.0004555,0.0004555
57,16525,0.98147,1.06053,0.52801,0.00225,0.31914,0.90216,0.87039,0.92622,0.74413,0.88719,0.84919,0.90165,0.56656,0.76453,0.91217,0.41503,0.0031,0,0.0004456,0.0004456,0.0004456
58,16812.6,0.98026,1.05803,0.53055,0.00223,0.33017,0.89744,0.88322,0.92704,0.74253,0.87997,0.86251,0.90244,0.56475,0.77299,0.90708,0.40918,0.00318,0,0.0004357,0.0004357,0.0004357
59,17099.9,0.98237,1.04451,0.51683,0.00224,0.31019,0.89668,0.87883,0.92703,0.74595,0.8837,0.85503,0.90205,0.56808,0.76763,0.90616,0.404,0.00306,0,0.0004258,0.0004258,0.0004258
60,17386.3,0.977,1.05222,0.51233,0.00222,0.31294,0.89023,0.8852,0.92844,0.74833,0.87857,0.86376,0.90407,0.57288,0.75721,0.89867,0.40133,0.00298,0,0.0004159,0.0004159,0.0004159
61,17673.2,0.97231,1.04193,0.51085,0.00221,0.30992,0.89578,0.87727,0.92828,0.74883,0.88627,0.85506,0.906,0.568,0.75806,0.90397,0.40796,0.00295,0,0.000406,0.000406,0.000406
62,17961.8,0.97131,1.03682,0.50911,0.00225,0.30679,0.90034,0.88139,0.93237,0.74883,0.88508,0.85923,0.90505,0.56439,0.76243,0.90058,0.39384,0.00302,0,0.0003961,0.0003961,0.0003961
